Nb_FPGA,Module,LUT,LUT%,LUT6,LUT6%,RAM,RAM%,URAM,URAM%,REG,REG%,RAMLUT,RAMLUT%,FWC_IP_BITS,FWC_IP_BITS%,QIWC_IP_BITS,QIWC_IP_BITS%,ZCEI_MESSAGE_INPUT,ZCEI_MESSAGE_INPUT%,ZCEI_MESSAGE_OUTPUT,ZCEI_MESSAGE_OUTPUT%,ZRM_SLOTS,ZRM_SLOTS%,ZRM_PORTS,ZRM_PORTS%,IOs,Path
1,mss_bus_switch_ibp_compr_0000_0000,2282, 1%,825, 1%,1, 1%,0, 0%,1244, 1%,0, 0%,0, 0%,1162, 1%,0, 0%,0, 0%,0, 0%,0, 0%,1007,zebu_top.core_chip_dut.icore_sys.ialb_mss_fab.u_switch_inst.u_mss_bs_mst_5.u_cming_ibp_compr
1,rl_csr,2485, 1%,930, 1%,1, 1%,0, 0%,846, 1%,0, 0%,0, 0%,790, 1%,0, 0%,0, 0%,0, 0%,0, 0%,1419,zebu_top.core_chip_dut.icore_sys.iarchipelago.icpu_top_safety_controller.u_shadow_rl_cpu_top.u_rl_core.u_rl_exu.u_rl_csr
1,rl_csr,2485, 1%,930, 1%,1, 1%,0, 0%,846, 1%,0, 0%,0, 0%,790, 1%,0, 0%,0, 0%,0, 0%,0, 0%,1419,zebu_top.core_chip_dut.icore_sys.iarchipelago.icpu_top_safety_controller.u_main_rl_cpu_top.u_rl_core.u_rl_exu.u_rl_csr
1,zemi3OutPortBuffer_169_4096_24,391, 1%,2, 1%,0, 0%,0, 0%,4091, 1%,0, 0%,0, 0%,0, 0%,0, 0%,0, 0%,0, 0%,0, 0%,4119,zebu_top.zebu_time_capture.zebu_sendtime_portbuffer
1,mss_bus_switch_ibp2ibps,1917, 1%,399, 1%,1, 1%,0, 0%,1103, 1%,0, 0%,0, 0%,1030, 1%,0, 0%,0, 0%,0, 0%,0, 0%,1166,zebu_top.core_chip_dut.icore_sys.ialb_mss_fab.u_switch_inst.u_mss_bs_mst_5.u_ibp_dw128_in_3__ibp2ibps
1,mss_bus_switch_ibp2ibps,1906, 1%,397, 1%,1, 1%,0, 0%,1103, 1%,0, 0%,0, 0%,1030, 1%,0, 0%,0, 0%,0, 0%,0, 0%,1156,zebu_top.core_chip_dut.icore_sys.ialb_mss_fab.u_switch_inst.u_mss_bs_mst_2.u_ibp_dw32_in_3__ibp2ibps
1,mss_bus_switch_ibp2ibps,1906, 1%,397, 1%,1, 1%,0, 0%,1103, 1%,0, 0%,0, 0%,1030, 1%,0, 0%,0, 0%,0, 0%,0, 0%,1156,zebu_top.core_chip_dut.icore_sys.ialb_mss_fab.u_switch_inst.u_mss_bs_mst_1.u_ibp_dw32_in_3__ibp2ibps
1,mss_bus_switch_ibp2ibps,1906, 1%,397, 1%,1, 1%,0, 0%,1103, 1%,0, 0%,0, 0%,1030, 1%,0, 0%,0, 0%,0, 0%,0, 0%,1156,zebu_top.core_chip_dut.icore_sys.ialb_mss_fab.u_switch_inst.u_mss_bs_mst_0.u_ibp_dw32_in_3__ibp2ibps
1,mss_bus_switch_ibp2ibps,1899, 1%,399, 1%,1, 1%,0, 0%,1103, 1%,0, 0%,0, 0%,1030, 1%,0, 0%,0, 0%,0, 0%,0, 0%,1149,zebu_top.core_chip_dut.icore_sys.ialb_mss_fab.u_switch_inst.u_mss_bs_mst_4.u_ibp_dw32_in_3__ibp2ibps
1,mss_bus_switch_ibp2ibps,1898, 1%,399, 1%,1, 1%,0, 0%,1103, 1%,0, 0%,0, 0%,1030, 1%,0, 0%,0, 0%,0, 0%,0, 0%,1148,zebu_top.core_chip_dut.icore_sys.ialb_mss_fab.u_switch_inst.u_mss_bs_mst_3.u_ibp_dw32_in_3__ibp2ibps
